file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,223,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,36
style.css,224,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,20
style.css,225,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,6
style.css,226,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,36
style.css,227,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,12
style.css,228,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,57
style.css,229,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,10
style.css,230,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,15
style.css,231,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,8
style.css,232,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,9
style.css,233,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,0
style.css,234,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,0
style.css,235,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,0
style.css,236,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,9
style.css,237,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,13
style.css,238,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,9
style.css,239,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,12
style.css,240,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,57
style.css,241,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,10
style.css,242,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,1,15
style.css,243,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,0
style.css,244,css,39606e61,manissen,2025-11-20,20:19:51,-08:00,2025-11-20T20:19:51-08:00,0,0
